Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Harrisburg-Carlisle,2014-04-01,85,1,13,0,1
Lancaster,2014-04-01,85,1,13,0,1
York-Hanover,2014-04-01,85,1,13,0,1
Williamsport,2014-04-01,84,1,15,0,0
Allentown-Bethlehem-Easton,2014-04-01,84,1,15,0,0
Philadelphia-Camden-Wilmington,2014-04-01,83,3,14,0,0
Washington-Arlington-Alexandria,2014-04-01,79,4,16,0,1
Baltimore-Columbia-Towson,2014-04-01,77,4,19,0,0
Charlottesville,2014-04-01,82,2,15,1,0
Richmond,2014-04-01,81,0,18,0,1
Virginia Beach-Norfolk-Newport News,2014-04-01,77,3,20,0,0
Wheeling,2014-04-01,96,0,4,0,0
Morgantown,2014-04-01,88,0,12,0,0
Raleigh,2014-04-01,81,1,18,0,0
Durham-Chapel Hill,2014-04-01,81,1,18,0,0
Charlotte-Concord-Gastonia,2014-04-01,79,1,19,0,1
ColumbiaSC,2014-04-01,72,2,25,1,0
Charleston-North Charleston,2014-04-01,81,2,17,0,0
Greenville-Anderson-Mauldin,2014-04-01,78,1,20,0,1
Atlanta-Sandy Springs-Roswell,2014-04-01,76,2,21,0,1
Athens-Clarke County,2014-04-01,81,1,18,0,0
Savannah,2014-04-01,79,1,20,0,0
Jacksonville,2014-04-01,76,1,23,0,0
Orlando-Kissimmee-Sanford,2014-04-01,77,2,21,0,0
Palm Bay-Melbourne-Titusville,2014-04-01,77,2,21,0,0
Miami-Fort Lauderdale-West Palm Beach,2014-04-01,76,2,21,1,0
Tampa-St. Petersburg-Clearwater,2014-04-01,78,2,19,1,0
Cape Coral-Fort Myers,2014-04-01,81,0,17,1,1
North Port-Sarasota-Bradenton,2014-04-01,78,2,19,1,0
Clarksville,2014-04-01,77,2,20,1,0
Nashville-Davidson--Murfreesboro--Franklin,2014-04-01,77,2,20,1,0
Memphis,2014-04-01,77,6,16,1,0
Lexington-Fayette,2014-04-01,80,0,20,0,0
Columbus,2014-04-01,81,1,17,1,0
Cleveland-Elyria,2014-04-01,83,0,15,1,1
Canton-Massillon,2014-04-01,83,0,15,1,1
Cincinnati,2014-04-01,85,2,13,0,0
Dayton,2014-04-01,79,4,17,0,0
Findlay,2014-04-01,87,0,7,0,6
Indianapolis-Carmel-Anderson,2014-04-01,80,3,17,0,0
Chicago-Naperville-Elgin,2014-04-01,78,1,18,0,3
Bloomington,2014-04-01,80,3,17,0,0
Detroit-Warren-Dearborn,2014-04-01,77,1,20,1,1
Dubuque,2014-04-01,80,2,18,0,0
Milwaukee-Waukesha-West Allis,2014-04-01,82,2,15,0,1
Racine,2014-04-01,82,2,15,0,1
Madison,2014-04-01,80,2,17,0,1
Manitowoc,2014-04-01,81,2,17,0,0
La Crosse-Onalaska,2014-04-01,78,1,19,0,2
Oshkosh-Neenah,2014-04-01,81,2,17,0,0
Minneapolis-St. Paul-Bloomington,2014-04-01,76,2,19,0,3
Fargo,2014-04-01,80,2,18,0,0
Helena,2014-04-01,100,0,0,0,0
Bozeman,2014-04-01,78,0,22,0,0
Missoula,2014-04-01,75,0,23,1,1
Kalispell,2014-04-01,75,0,23,1,1
Rockford,2014-04-01,85,3,10,2,0
St. Louis,2014-04-01,78,1,19,1,1
Kansas City,2014-04-01,81,1,16,2,0
Joplin,2014-04-01,91,0,6,0,3
ColumbiaMO,2014-04-01,78,1,19,2,0
Manhattan,2014-04-01,83,1,15,0,1
Topeka,2014-04-01,83,1,15,0,1
Wichita,2014-04-01,73,0,26,0,1
Little Rock-North Little Rock-Conway,2014-04-01,75,3,21,0,1
Fayetteville-Springdale-Rogers,2014-04-01,78,2,18,2,0
Oklahoma City,2014-04-01,75,1,23,0,1
Dallas-Fort Worth-Arlington,2014-04-01,77,1,20,1,1
Tyler,2014-04-01,76,1,20,3,0
