Metro,datetime,isPartial,Job opportunities,Unemployment,Retirement,Layoff,Starbucks,rel_pop_Job opportunities,rel_pop_Unemployment,rel_pop_Retirement,rel_pop_Layoff,rel_pop_Starbucks
Worcester,2019-11-01,False,60.0,32.0,59.09090909090909,33.333333333333336,94.25287356321839,5.0,100.0,44.0,3.0,87.0
Worcester,2019-12-01,False,40.0,37.0,63.63636363636363,33.333333333333336,87.35632183908046,5.0,100.0,44.0,3.0,87.0
Worcester,2020-01-01,False,60.0,41.0,100.0,66.66666666666667,74.71264367816092,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-01-01,False,100.0,100.0,59.09090909090909,33.333333333333336,50.57471264367816,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-02-01,False,100.0,79.0,59.09090909090909,33.333333333333336,52.87356321839081,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-03-01,False,60.0,79.0,72.72727272727273,66.66666666666667,51.724137931034484,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-04-01,False,40.0,81.0,70.45454545454545,33.333333333333336,55.172413793103445,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-05-01,False,60.0,68.0,61.36363636363637,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-06-01,False,40.0,57.0,68.18181818181819,33.333333333333336,58.62068965517241,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-07-01,False,60.0,61.0,54.54545454545455,33.333333333333336,57.47126436781609,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-08-01,False,80.0,49.0,59.09090909090909,66.66666666666667,59.770114942528735,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-09-01,False,80.0,44.0,59.09090909090909,33.333333333333336,57.47126436781609,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-10-01,False,80.0,39.0,56.81818181818182,33.333333333333336,52.87356321839081,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-11-01,False,60.0,45.0,54.54545454545455,33.333333333333336,67.816091954023,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2014-12-01,False,40.0,51.0,59.09090909090909,33.333333333333336,67.816091954023,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-01-01,False,40.0,60.0,63.63636363636363,33.333333333333336,58.62068965517241,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-02-01,False,80.0,57.0,61.36363636363637,33.333333333333336,56.32183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-03-01,False,60.0,44.0,88.63636363636364,0.0,59.770114942528735,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-04-01,False,40.0,41.0,88.63636363636364,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-05-01,False,60.0,38.0,70.45454545454545,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-06-01,False,60.0,37.0,81.81818181818181,33.333333333333336,56.32183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-07-01,False,60.0,43.0,68.18181818181819,33.333333333333336,54.02298850574713,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-08-01,False,60.0,36.0,59.09090909090909,66.66666666666667,55.172413793103445,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-09-01,False,40.0,37.0,59.09090909090909,33.333333333333336,52.87356321839081,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-10-01,False,60.0,32.0,56.81818181818182,33.333333333333336,60.91954022988506,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-11-01,False,60.0,41.0,54.54545454545455,33.333333333333336,90.80459770114942,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2015-12-01,False,60.0,43.0,54.54545454545455,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-01-01,False,60.0,51.0,59.09090909090909,66.66666666666667,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-02-01,False,60.0,51.0,63.63636363636363,33.333333333333336,62.06896551724138,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-03-01,False,20.0,39.0,68.18181818181819,33.333333333333336,60.91954022988506,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-04-01,False,40.0,39.0,68.18181818181819,33.333333333333336,64.36781609195403,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-05-01,False,60.0,38.0,59.09090909090909,66.66666666666667,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-06-01,False,40.0,35.0,68.18181818181819,33.333333333333336,80.45977011494253,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-07-01,False,40.0,42.0,50.0,0.0,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-08-01,False,60.0,35.0,56.81818181818182,33.333333333333336,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-09-01,False,40.0,32.0,56.81818181818182,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-10-01,False,40.0,31.0,56.81818181818182,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-11-01,False,40.0,37.0,50.0,33.333333333333336,79.3103448275862,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2016-12-01,False,40.0,41.0,52.27272727272727,33.333333333333336,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-01-01,False,60.0,53.0,70.45454545454545,66.66666666666667,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-02-01,False,40.0,44.0,59.09090909090909,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-03-01,False,40.0,35.0,68.18181818181819,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-04-01,False,60.0,31.0,61.36363636363637,33.333333333333336,87.35632183908046,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-05-01,False,40.0,28.0,61.36363636363637,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-06-01,False,40.0,34.0,61.36363636363637,66.66666666666667,73.5632183908046,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-07-01,False,40.0,33.0,59.09090909090909,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-08-01,False,40.0,34.0,59.09090909090909,66.66666666666667,68.96551724137932,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-09-01,False,40.0,28.0,61.36363636363637,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Boston-Cambridge-Newton,2017-10-01,False,20.0,30.0,61.36363636363637,33.333333333333336,68.96551724137932,5.0,100.0,44.0,3.0,87.0
